,split,nspeakers,filename,session,ref_speaker,mix,audio_duration,brouhaha_speech_duration,brouhaha_speech_percentage,brouhaha_snr_mean,brouhaha_c50_mean
dev/1/S02_P05_5a_noise.wav,dev,1,S02_P05_5a_noise,S02,P05,5a_noise,3.52,0,0.0,1.166568636894226,24.31996154785156
dev/1/S02_P05_5a_speech.wav,dev,1,S02_P05_5a_speech,S02,P05,5a_speech,3.52,3.291,0.9349431818181818,43.32256317138672,7.553323745727539
dev/1/S02_P05_6a_mix.wav,dev,1,S02_P05_6a_mix,S02,P05,6a_mix,3.39,3.021,0.891150442477876,7.62472677230835,11.175228118896484
dev/1/S02_P05_6a_noise.wav,dev,1,S02_P05_6a_noise,S02,P05,6a_noise,3.39,0,0.0,11.218954086303713,20.950746536254883
dev/1/S02_P05_6a_speech.wav,dev,1,S02_P05_6a_speech,S02,P05,6a_speech,3.39,2.852,0.8412979351032448,42.23835372924805,10.658334732055664
dev/1/S02_P05_8a_mix.wav,dev,1,S02_P05_8a_mix,S02,P05,8a_mix,6.18,5.738,0.9284789644012946,11.839433670043944,8.079814910888672
dev/1/S02_P05_8a_noise.wav,dev,1,S02_P05_8a_noise,S02,P05,8a_noise,6.18,0,0.0,-1.9517968893051147,25.30777931213379
dev/1/S02_P05_8a_speech.wav,dev,1,S02_P05_8a_speech,S02,P05,8a_speech,6.18,5.957,0.9639158576051781,43.84693908691406,6.667214393615723
dev/1/S02_P05_8b_mix.wav,dev,1,S02_P05_8b_mix,S02,P05,8b_mix,6.18,4.438,0.7181229773462783,8.729260444641113,9.522695541381836
dev/1/S02_P05_8b_noise.wav,dev,1,S02_P05_8b_noise,S02,P05,8b_noise,6.18,0,0.0,-1.9517968893051147,25.30777931213379
dev/1/S02_P05_8b_speech.wav,dev,1,S02_P05_8b_speech,S02,P05,8b_speech,6.18,4.59,0.7427184466019418,65.15616607666016,7.832685947418213
dev/1/S02_P05_9a_mix.wav,dev,1,S02_P05_9a_mix,S02,P05,9a_mix,3.0,2.801,0.9336666666666668,30.6069278717041,12.87110424041748
dev/1/S02_P05_9a_noise.wav,dev,1,S02_P05_9a_noise,S02,P05,9a_noise,3.0,0,0.0,0.6792564392089844,24.01710700988769
dev/1/S02_P05_9a_speech.wav,dev,1,S02_P05_9a_speech,S02,P05,9a_speech,3.0,2.852,0.9506666666666667,38.57627868652344,13.695538520812988
dev/1/S02_P05_9b_mix.wav,dev,1,S02_P05_9b_mix,S02,P05,9b_mix,3.0,2.835,0.945,8.498909950256348,24.27522087097168
dev/1/S02_P05_9b_noise.wav,dev,1,S02_P05_9b_noise,S02,P05,9b_noise,3.0,0,0.0,0.6792564392089844,24.01710700988769
dev/1/S02_P05_9b_speech.wav,dev,1,S02_P05_9b_speech,S02,P05,9b_speech,3.0,2.818,0.9393333333333334,46.80939483642578,22.89881134033203
dev/1/S02_P06_12a_mix.wav,dev,1,S02_P06_12a_mix,S02,P06,12a_mix,7.42,7.037,0.9483827493261455,1.5496937036514282,8.38930892944336
dev/1/S02_P06_12a_noise.wav,dev,1,S02_P06_12a_noise,S02,P06,12a_noise,7.42,0,0.0,-4.418456077575684,22.93340301513672
dev/1/S02_P06_12a_speech.wav,dev,1,S02_P06_12a_speech,S02,P06,12a_speech,7.42,7.037,0.9483827493261455,37.995208740234375,8.088828086853027
dev/1/S02_P06_12b_mix.wav,dev,1,S02_P06_12b_mix,S02,P06,12b_mix,7.42,7.138,0.9619946091644205,19.7128963470459,20.575742721557617
dev/1/S02_P06_12b_noise.wav,dev,1,S02_P06_12b_noise,S02,P06,12b_noise,7.42,0,0.0,-4.421669483184815,22.93557357788086
dev/1/S02_P06_12b_speech.wav,dev,1,S02_P06_12b_speech,S02,P06,12b_speech,7.42,7.121,0.9597035040431268,55.33488464355469,21.042938232421875
dev/1/S02_P06_14a_mix.wav,dev,1,S02_P06_14a_mix,S02,P06,14a_mix,5.02,4.674,0.9310756972111556,-0.2201000899076461,15.550122261047363
dev/1/S02_P06_14a_noise.wav,dev,1,S02_P06_14a_noise,S02,P06,14a_noise,5.02,0,0.0,-2.567259788513184,22.59994888305664
dev/1/S02_P06_14a_speech.wav,dev,1,S02_P06_14a_speech,S02,P06,14a_speech,5.02,4.624,0.9211155378486056,46.6939697265625,10.400015830993652
dev/1/S02_P06_15a_mix.wav,dev,1,S02_P06_15a_mix,S02,P06,15a_mix,3.97,3.004,0.7566750629722921,14.646833419799805,13.073777198791504
dev/1/S02_P06_15a_noise.wav,dev,1,S02_P06_15a_noise,S02,P06,15a_noise,3.97,0,0.0,-2.544602155685425,22.775707244873047
dev/1/S02_P06_15a_speech.wav,dev,1,S02_P06_15a_speech,S02,P06,15a_speech,3.97,3.038,0.7652392947103274,60.49562072753906,11.49357795715332
dev/1/S02_P06_15b_mix.wav,dev,1,S02_P06_15b_mix,S02,P06,15b_mix,3.97,3.223,0.8118387909319899,7.186717033386231,11.776576042175291
dev/1/S02_P06_15b_noise.wav,dev,1,S02_P06_15b_noise,S02,P06,15b_noise,3.97,0,0.0,-2.544602155685425,22.775707244873047
dev/1/S02_P06_15b_speech.wav,dev,1,S02_P06_15b_speech,S02,P06,15b_speech,3.97,3.341,0.8415617128463476,56.80720520019531,11.197172164916992
dev/1/S02_P06_5a_mix.wav,dev,1,S02_P06_5a_mix,S02,P06,5a_mix,3.52,3.324,0.9443181818181817,14.241521835327148,36.47700119018555
dev/1/S02_P06_5a_noise.wav,dev,1,S02_P06_5a_noise,S02,P06,5a_noise,3.52,0,0.0,-0.4835246801376343,26.30179023742676
dev/1/S02_P06_5a_speech.wav,dev,1,S02_P06_5a_speech,S02,P06,5a_speech,3.52,3.459,0.9826704545454545,50.75284957885742,30.482295989990234
dev/1/S02_P06_5b_mix.wav,dev,1,S02_P06_5b_mix,S02,P06,5b_mix,3.52,3.223,0.9156249999999999,12.815831184387209,17.25374412536621
dev/1/S02_P06_5b_noise.wav,dev,1,S02_P06_5b_noise,S02,P06,5b_noise,3.52,0,0.0,-0.4924241304397583,26.295068740844727
dev/1/S02_P06_5b_speech.wav,dev,1,S02_P06_5b_speech,S02,P06,5b_speech,3.52,3.172,0.9011363636363636,45.79610061645508,14.165952682495115
dev/1/S02_P06_6a_mix.wav,dev,1,S02_P06_6a_mix,S02,P06,6a_mix,3.39,3.004,0.8861356932153392,14.531023025512695,22.531618118286133
dev/1/S02_P06_6a_noise.wav,dev,1,S02_P06_6a_noise,S02,P06,6a_noise,3.39,0,0.0,8.0158052444458,24.7502555847168
dev/1/S02_P06_6a_speech.wav,dev,1,S02_P06_6a_speech,S02,P06,6a_speech,3.39,3.257,0.9607669616519174,17.46929931640625,21.90178871154785
dev/1/S02_P06_8a_mix.wav,dev,1,S02_P06_8a_mix,S02,P06,8a_mix,6.18,5.603,0.9066343042071198,5.078834056854248,30.549692153930664
dev/1/S02_P06_8a_noise.wav,dev,1,S02_P06_8a_noise,S02,P06,8a_noise,6.18,0,0.0,-2.9538087844848637,24.75812721252441
dev/1/S02_P06_8a_speech.wav,dev,1,S02_P06_8a_speech,S02,P06,8a_speech,6.18,5.721,0.9257281553398059,54.16728591918945,34.402523040771484
dev/1/S02_P06_8b_mix.wav,dev,1,S02_P06_8b_mix,S02,P06,8b_mix,6.18,5.687,0.9202265372168286,18.104345321655277,7.899296283721924
dev/1/S02_P06_8b_noise.wav,dev,1,S02_P06_8b_noise,S02,P06,8b_noise,6.18,0,0.0,-2.9253201484680176,24.794692993164062
dev/1/S02_P06_8b_speech.wav,dev,1,S02_P06_8b_speech,S02,P06,8b_speech,6.18,5.4,0.8737864077669903,55.63542938232422,7.776559352874756
dev/1/S02_P06_9a_mix.wav,dev,1,S02_P06_9a_mix,S02,P06,9a_mix,3.0,2.649,0.883,18.73971939086914,19.88169860839844
dev/1/S02_P06_9a_noise.wav,dev,1,S02_P06_9a_noise,S02,P06,9a_noise,3.0,0,0.0,1.303012490272522,23.927478790283203
dev/1/S02_P06_9a_speech.wav,dev,1,S02_P06_9a_speech,S02,P06,9a_speech,3.0,2.616,0.872,47.64617156982422,30.99784469604492
dev/1/S02_P06_9b_mix.wav,dev,1,S02_P06_9b_mix,S02,P06,9b_mix,3.0,2.683,0.8943333333333333,7.746954441070557,13.137381553649902
dev/1/S02_P06_9b_noise.wav,dev,1,S02_P06_9b_noise,S02,P06,9b_noise,3.0,0,0.0,1.3028491735458374,23.93338394165039
dev/1/S02_P06_9b_speech.wav,dev,1,S02_P06_9b_speech,S02,P06,9b_speech,3.0,2.835,0.945,51.66208267211914,8.915653228759766
dev/1/S02_P07_10b_mix.wav,dev,1,S02_P07_10b_mix,S02,P07,10b_mix,9.15,8.792,0.9608743169398907,30.60280418395996,11.369222640991213
dev/1/S02_P07_10b_noise.wav,dev,1,S02_P07_10b_noise,S02,P07,10b_noise,9.15,0,0.0,-1.9881447553634644,23.17386817932129
dev/1/S02_P07_10b_speech.wav,dev,1,S02_P07_10b_speech,S02,P07,10b_speech,9.15,9.096,0.9940983606557376,49.45991516113281,10.45038604736328
dev/1/S02_P07_11b_mix.wav,dev,1,S02_P07_11b_mix,S02,P07,11b_mix,3.9,3.679,0.9433333333333334,28.09122085571289,16.6378231048584
dev/1/S02_P07_11b_noise.wav,dev,1,S02_P07_11b_noise,S02,P07,11b_noise,3.9,0,0.0,1.1483596563339231,18.724512100219727
dev/1/S02_P07_11b_speech.wav,dev,1,S02_P07_11b_speech,S02,P07,11b_speech,3.9,3.611,0.925897435897436,45.7348747253418,15.634706497192385
dev/1/S02_P07_13b_mix.wav,dev,1,S02_P07_13b_mix,S02,P07,13b_mix,3.37,3.156,0.9364985163204748,11.954368591308594,8.817915916442871
dev/1/S02_P07_13b_noise.wav,dev,1,S02_P07_13b_noise,S02,P07,13b_noise,3.37,0,0.0,0.6175937056541443,22.865686416625977
dev/1/S02_P07_13b_speech.wav,dev,1,S02_P07_13b_speech,S02,P07,13b_speech,3.37,3.054,0.9062314540059346,37.58232879638672,8.05763053894043
dev/1/S02_P07_14b_mix.wav,dev,1,S02_P07_14b_mix,S02,P07,14b_mix,5.02,4.86,0.9681274900398408,17.615093231201172,13.017345428466797
dev/1/S02_P07_14b_noise.wav,dev,1,S02_P07_14b_noise,S02,P07,14b_noise,5.02,0,0.0,4.832413673400879,43.2247314453125
dev/1/S02_P07_14b_speech.wav,dev,1,S02_P07_14b_speech,S02,P07,14b_speech,5.02,4.641,0.9245019920318726,42.91917419433594,12.739789009094238
dev/1/S02_P07_15a_mix.wav,dev,1,S02_P07_15a_mix,S02,P07,15a_mix,3.97,3.527,0.8884130982367758,27.7664737701416,12.21176528930664
dev/1/S02_P07_15a_noise.wav,dev,1,S02_P07_15a_noise,S02,P07,15a_noise,3.97,0,0.0,-2.589991331100464,23.18101501464844
dev/1/S02_P07_15a_speech.wav,dev,1,S02_P07_15a_speech,S02,P07,15a_speech,3.97,3.696,0.9309823677581864,51.44316101074219,10.909470558166504
dev/1/S02_P07_4a_mix.wav,dev,1,S02_P07_4a_mix,S02,P07,4a_mix,4.47,4.421,0.9890380313199106,11.534794807434082,26.25964736938477
dev/1/S02_P07_4a_noise.wav,dev,1,S02_P07_4a_noise,S02,P07,4a_noise,4.47,0,0.0,1.1567507982254028,16.194272994995117
dev/1/S02_P07_4a_speech.wav,dev,1,S02_P07_4a_speech,S02,P07,4a_speech,4.47,4.421,0.9890380313199106,54.43655776977539,23.778987884521484
dev/1/S02_P07_5b_mix.wav,dev,1,S02_P07_5b_mix,S02,P07,5b_mix,3.52,3.206,0.9107954545454545,10.461058616638184,14.088886260986328
dev/1/S02_P07_5b_noise.wav,dev,1,S02_P07_5b_noise,S02,P07,5b_noise,3.52,0,0.0,2.6690375804901123,24.933292388916016
dev/1/S02_P07_5b_speech.wav,dev,1,S02_P07_5b_speech,S02,P07,5b_speech,3.52,3.139,0.8917613636363636,47.303749084472656,14.208621978759766
dev/1/S02_P07_6a_mix.wav,dev,1,S02_P07_6a_mix,S02,P07,6a_mix,3.39,3.038,0.8961651917404129,16.263084411621094,11.183892250061035
dev/1/S02_P07_6a_noise.wav,dev,1,S02_P07_6a_noise,S02,P07,6a_noise,3.39,0,0.0,4.062471866607666,18.184478759765625
dev/1/S02_P07_6a_speech.wav,dev,1,S02_P07_6a_speech,S02,P07,6a_speech,3.39,2.953,0.8710914454277285,37.211185455322266,10.021949768066406
dev/1/S02_P07_6b_mix.wav,dev,1,S02_P07_6b_mix,S02,P07,6b_mix,3.39,2.953,0.8710914454277285,17.189327239990234,10.019756317138672
dev/1/S02_P07_6b_noise.wav,dev,1,S02_P07_6b_noise,S02,P07,6b_noise,3.39,0,0.0,4.062471866607666,18.184478759765625
dev/1/S02_P07_6b_speech.wav,dev,1,S02_P07_6b_speech,S02,P07,6b_speech,3.39,2.987,0.8811209439528024,48.04434585571289,6.373892307281494
dev/1/S02_P07_8a_mix.wav,dev,1,S02_P07_8a_mix,S02,P07,8a_mix,6.18,5.839,0.944822006472492,3.1623754501342773,9.568070411682127
dev/1/S02_P07_8a_noise.wav,dev,1,S02_P07_8a_noise,S02,P07,8a_noise,6.18,0,0.0,-2.333031177520752,24.79190444946289
dev/1/S02_P07_8a_speech.wav,dev,1,S02_P07_8a_speech,S02,P07,8a_speech,6.18,5.805,0.9393203883495146,44.94761276245117,8.918257713317871
dev/1/S02_P07_8b_mix.wav,dev,1,S02_P07_8b_mix,S02,P07,8b_mix,6.18,6.109,0.9885113268608414,11.0833101272583,18.522193908691406
dev/1/S02_P07_8b_noise.wav,dev,1,S02_P07_8b_noise,S02,P07,8b_noise,6.18,0,0.0,-2.333031177520752,24.79190444946289
dev/1/S02_P07_8b_speech.wav,dev,1,S02_P07_8b_speech,S02,P07,8b_speech,6.18,6.109,0.9885113268608414,46.432559967041016,17.11915397644043
dev/1/S02_P07_9a_mix.wav,dev,1,S02_P07_9a_mix,S02,P07,9a_mix,3.0,2.936,0.9786666666666667,29.31846809387207,22.049373626708984
dev/1/S02_P07_9a_noise.wav,dev,1,S02_P07_9a_noise,S02,P07,9a_noise,3.0,0,0.0,2.495657205581665,24.20958709716797
dev/1/S02_P07_9a_speech.wav,dev,1,S02_P07_9a_speech,S02,P07,9a_speech,3.0,2.936,0.9786666666666667,33.810157775878906,24.60959243774414
dev/1/S02_P07_9b_mix.wav,dev,1,S02_P07_9b_mix,S02,P07,9b_mix,3.0,2.228,0.7426666666666667,12.782876014709473,33.98219680786133
dev/1/S02_P07_9b_noise.wav,dev,1,S02_P07_9b_noise,S02,P07,9b_noise,3.0,0,0.0,2.495657205581665,24.20958709716797
dev/1/S02_P07_9b_speech.wav,dev,1,S02_P07_9b_speech,S02,P07,9b_speech,3.0,2.6500000000000004,0.8833333333333334,35.66123580932617,23.35130882263184
dev/1/S02_P08_10a_mix.wav,dev,1,S02_P08_10a_mix,S02,P08,10a_mix,9.14,6.244,0.6831509846827133,18.155048370361328,9.632360458374023
dev/1/S02_P08_10a_noise.wav,dev,1,S02_P08_10a_noise,S02,P08,10a_noise,9.14,0,0.0,-3.719729661941528,23.360157012939453
dev/1/S02_P08_10a_speech.wav,dev,1,S02_P08_10a_speech,S02,P08,10a_speech,9.14,6.43,0.7035010940919036,43.09573745727539,9.589980125427246
dev/1/S02_P08_10b_mix.wav,dev,1,S02_P08_10b_mix,S02,P08,10b_mix,9.14,6.919,0.7570021881838074,17.28803825378418,12.416984558105469
dev/1/S02_P08_10b_noise.wav,dev,1,S02_P08_10b_noise,S02,P08,10b_noise,9.14,0,0.0,-3.719729661941528,23.360157012939453
dev/1/S02_P08_10b_speech.wav,dev,1,S02_P08_10b_speech,S02,P08,10b_speech,9.14,6.919,0.7570021881838074,47.86383056640625,9.936774253845217
dev/1/S02_P08_13a_mix.wav,dev,1,S02_P08_13a_mix,S02,P08,13a_mix,3.37,2.869,0.8513353115727004,17.80782127380371,11.64179801940918
dev/1/S02_P08_13a_noise.wav,dev,1,S02_P08_13a_noise,S02,P08,13a_noise,3.37,0,0.0,-0.0690644681453704,24.64627456665039
dev/1/S02_P08_13a_speech.wav,dev,1,S02_P08_13a_speech,S02,P08,13a_speech,3.37,2.886,0.856379821958457,48.944602966308594,9.551177978515623
dev/1/S02_P08_13b_mix.wav,dev,1,S02_P08_13b_mix,S02,P08,13b_mix,3.37,2.903,0.8614243323442137,0.2298067808151245,37.98788833618164
dev/1/S02_P08_13b_noise.wav,dev,1,S02_P08_13b_noise,S02,P08,13b_noise,3.37,0,0.0,-0.0690644681453704,24.64627456665039
dev/1/S02_P08_13b_speech.wav,dev,1,S02_P08_13b_speech,S02,P08,13b_speech,3.37,3.105,0.9213649851632048,34.065208435058594,41.03033065795898
dev/1/S02_P08_14a_mix.wav,dev,1,S02_P08_14a_mix,S02,P08,14a_mix,5.02,4.776,0.951394422310757,21.586639404296875,12.341148376464844
dev/1/S02_P08_14a_noise.wav,dev,1,S02_P08_14a_noise,S02,P08,14a_noise,5.02,0,0.0,0.3672775030136108,23.877805709838867
dev/1/S02_P08_14a_speech.wav,dev,1,S02_P08_14a_speech,S02,P08,14a_speech,5.02,4.961,0.9882470119521913,57.11861801147461,10.645302772521973
dev/1/S02_P08_15b_mix.wav,dev,1,S02_P08_15b_mix,S02,P08,15b_mix,3.97,3.594,0.9052896725440805,12.639355659484863,21.03076934814453
dev/1/S02_P08_15b_noise.wav,dev,1,S02_P08_15b_noise,S02,P08,15b_noise,3.97,0,0.0,-1.4956589937210083,22.437807083129883
dev/1/S02_P08_15b_speech.wav,dev,1,S02_P08_15b_speech,S02,P08,15b_speech,3.97,3.611,0.9095717884130983,41.9172248840332,25.939361572265625
dev/1/S02_P08_4a_mix.wav,dev,1,S02_P08_4a_mix,S02,P08,4a_mix,4.47,4.033,0.9022371364653246,9.757490158081056,14.158931732177734
dev/1/S02_P08_4a_noise.wav,dev,1,S02_P08_4a_noise,S02,P08,4a_noise,4.47,0,0.0,-0.9258612394332886,24.88406181335449
dev/1/S02_P08_4a_speech.wav,dev,1,S02_P08_4a_speech,S02,P08,4a_speech,4.47,4.084,0.9136465324384787,32.5596923828125,11.796533584594728
dev/1/S02_P08_4b_mix.wav,dev,1,S02_P08_4b_mix,S02,P08,4b_mix,4.47,2.244,0.502013422818792,11.079041481018066,15.640347480773926
dev/1/S02_P08_4b_noise.wav,dev,1,S02_P08_4b_noise,S02,P08,4b_noise,4.47,0,0.0,-0.9258612394332886,24.88406181335449
dev/1/S02_P08_4b_speech.wav,dev,1,S02_P08_4b_speech,S02,P08,4b_speech,4.47,3.999,0.8946308724832216,41.7573356628418,11.342302322387695
dev/1/S02_P08_5a_mix.wav,dev,1,S02_P08_5a_mix,S02,P08,5a_mix,3.52,3.426,0.9732954545454546,14.544419288635254,10.40814971923828
dev/1/S02_P08_5a_noise.wav,dev,1,S02_P08_5a_noise,S02,P08,5a_noise,3.52,0,0.0,1.4325307607650757,21.81396484375
dev/1/S02_P08_5a_speech.wav,dev,1,S02_P08_5a_speech,S02,P08,5a_speech,3.52,3.459,0.9826704545454545,48.994102478027344,9.382474899291992
dev/1/S02_P08_5b_mix.wav,dev,1,S02_P08_5b_mix,S02,P08,5b_mix,3.52,3.459,0.9826704545454545,13.75329303741455,7.982015132904053
dev/1/S02_P08_5b_noise.wav,dev,1,S02_P08_5b_noise,S02,P08,5b_noise,3.52,0,0.0,1.4325307607650757,21.81396484375
dev/1/S02_P08_5b_speech.wav,dev,1,S02_P08_5b_speech,S02,P08,5b_speech,3.52,3.021,0.8582386363636363,39.74943161010742,7.23467206954956
dev/1/S02_P08_6a_mix.wav,dev,1,S02_P08_6a_mix,S02,P08,6a_mix,3.39,3.257,0.9607669616519174,24.715585708618164,16.789552688598633
dev/1/S02_P08_6a_noise.wav,dev,1,S02_P08_6a_noise,S02,P08,6a_noise,3.39,0,0.0,4.822727203369141,24.833234786987305
dev/1/S02_P08_6a_speech.wav,dev,1,S02_P08_6a_speech,S02,P08,6a_speech,3.39,3.291,0.9707964601769911,57.21574401855469,16.4210262298584
dev/1/S02_P08_6b_mix.wav,dev,1,S02_P08_6b_mix,S02,P08,6b_mix,3.39,3.054,0.9008849557522123,2.845521211624145,21.14898681640625
dev/1/S02_P08_6b_noise.wav,dev,1,S02_P08_6b_noise,S02,P08,6b_noise,3.39,0,0.0,4.822727203369141,24.833234786987305
dev/1/S02_P08_6b_speech.wav,dev,1,S02_P08_6b_speech,S02,P08,6b_speech,3.39,3.088,0.9109144542772861,41.25864410400391,23.04899787902832
dev/1/S02_P08_8a_mix.wav,dev,1,S02_P08_8a_mix,S02,P08,8a_mix,6.18,2.312,0.37411003236245954,2.102414608001709,14.6043701171875
dev/1/S02_P08_8a_noise.wav,dev,1,S02_P08_8a_noise,S02,P08,8a_noise,6.18,0,0.0,-3.1449637413024902,24.589630126953125
dev/1/S02_P08_8a_speech.wav,dev,1,S02_P08_8a_speech,S02,P08,8a_speech,6.18,5.434,0.8792880258899677,38.00263595581055,9.29186725616455
dev/1/S02_P08_8b_mix.wav,dev,1,S02_P08_8b_mix,S02,P08,8b_mix,6.18,6.092,0.9857605177993527,14.418086051940918,18.384252548217773
dev/1/S02_P08_8b_noise.wav,dev,1,S02_P08_8b_noise,S02,P08,8b_noise,6.18,0,0.0,-3.1449637413024902,24.589630126953125
dev/1/S02_P08_8b_speech.wav,dev,1,S02_P08_8b_speech,S02,P08,8b_speech,6.18,5.991,0.9694174757281553,39.785789489746094,16.391263961791992
dev/1/S02_P08_9a_mix.wav,dev,1,S02_P08_9a_mix,S02,P08,9a_mix,3.0,2.565,0.855,35.853084564208984,18.01095962524414
dev/1/S02_P08_9a_noise.wav,dev,1,S02_P08_9a_noise,S02,P08,9a_noise,3.0,0,0.0,1.440434455871582,24.79717254638672
dev/1/S02_P08_9a_speech.wav,dev,1,S02_P08_9a_speech,S02,P08,9a_speech,3.0,2.548,0.8493333333333334,43.32070541381836,18.90109634399414
dev/1/S07_P17_100a_mix.wav,dev,1,S07_P17_100a_mix,S07,P17,100a_mix,4.38,3.223,0.7358447488584475,22.517114639282227,22.35273742675781
dev/1/S07_P17_100a_noise.wav,dev,1,S07_P17_100a_noise,S07,P17,100a_noise,4.38,0,0.0,4.753722190856934,25.428207397460938
dev/1/S07_P17_100a_speech.wav,dev,1,S07_P17_100a_speech,S07,P17,100a_speech,4.38,3.527,0.8052511415525114,63.7469367980957,21.719377517700195
dev/1/S07_P17_100b_mix.wav,dev,1,S07_P17_100b_mix,S07,P17,100b_mix,4.38,4.185,0.9554794520547945,29.10810089111328,8.77083969116211
dev/1/S07_P17_100b_noise.wav,dev,1,S07_P17_100b_noise,S07,P17,100b_noise,4.38,0,0.0,4.753722190856934,25.428207397460938
dev/1/S07_P17_100b_speech.wav,dev,1,S07_P17_100b_speech,S07,P17,100b_speech,4.38,4.269,0.9746575342465754,44.13981246948242,7.823446750640869
dev/1/S07_P17_101b_mix.wav,dev,1,S07_P17_101b_mix,S07,P17,101b_mix,4.25,3.78,0.8894117647058823,13.587587356567385,10.115140914916992
dev/1/S07_P17_101b_noise.wav,dev,1,S07_P17_101b_noise,S07,P17,101b_noise,4.25,0,0.0,4.566565036773682,24.73702812194824
dev/1/S07_P17_101b_speech.wav,dev,1,S07_P17_101b_speech,S07,P17,101b_speech,4.25,3.831,0.9014117647058824,46.57215118408203,8.085610389709473
dev/1/S07_P17_102a_mix.wav,dev,1,S07_P17_102a_mix,S07,P17,102a_mix,14.43,12.927,0.8958419958419959,27.391237258911133,15.283232688903809
dev/1/S07_P17_102a_noise.wav,dev,1,S07_P17_102a_noise,S07,P17,102a_noise,14.43,1.519,0.10526680526680526,3.566227674484253,32.119632720947266
dev/1/S07_P17_102a_speech.wav,dev,1,S07_P17_102a_speech,S07,P17,102a_speech,14.43,13.045,0.9040194040194041,59.317901611328125,13.68280792236328
dev/1/S07_P17_102b_mix.wav,dev,1,S07_P17_102b_mix,S07,P17,102b_mix,14.43,14.209,0.9846846846846847,27.925315856933597,9.529682159423828
dev/1/S07_P17_102b_noise.wav,dev,1,S07_P17_102b_noise,S07,P17,102b_noise,14.43,1.519,0.10526680526680526,3.566227674484253,32.119632720947266
dev/1/S07_P17_102b_speech.wav,dev,1,S07_P17_102b_speech,S07,P17,102b_speech,14.43,13.954999999999998,0.967082467082467,46.31617736816406,9.662004470825195
dev/1/S07_P17_103a_mix.wav,dev,1,S07_P17_103a_mix,S07,P17,103a_mix,4.17,4.05,0.9712230215827338,26.307252883911133,6.282872676849365
dev/1/S07_P17_103a_noise.wav,dev,1,S07_P17_103a_noise,S07,P17,103a_noise,4.17,0,0.0,0.3113878965377807,25.936023712158203
dev/1/S07_P17_103a_speech.wav,dev,1,S07_P17_103a_speech,S07,P17,103a_speech,4.17,4.118,0.9875299760191848,47.95856094360352,6.465015888214111
dev/1/S07_P17_103b_mix.wav,dev,1,S07_P17_103b_mix,S07,P17,103b_mix,4.17,3.763,0.9023980815347722,22.641176223754883,26.834827423095703
dev/1/S07_P17_103b_noise.wav,dev,1,S07_P17_103b_noise,S07,P17,103b_noise,4.17,0,0.0,0.3113878965377807,25.936023712158203
dev/1/S07_P17_103b_speech.wav,dev,1,S07_P17_103b_speech,S07,P17,103b_speech,4.17,3.729,0.8942446043165468,47.77993392944336,30.23246192932129
dev/1/S07_P17_104a_mix.wav,dev,1,S07_P17_104a_mix,S07,P17,104a_mix,4.61,3.949,0.8566160520607374,8.756534576416016,7.494717121124268
dev/1/S07_P17_104a_noise.wav,dev,1,S07_P17_104a_noise,S07,P17,104a_noise,4.61,0,0.0,-0.5173609256744385,25.525615692138672
